source,destination,weight,long_hosp,lat_hosp,long_racf,lat_racf
246,471,3,145.0585637,-37.7555989,144.911281,-37.705362
246,525,1,144.9940109,-37.8168201,144.911281,-37.705362
246,306,2,144.88738,-37.792388,144.911281,-37.705362
246,815,2,144.9515533,-37.7871148,144.911281,-37.705362
246,241,3,144.9587474,-37.7546374,144.911281,-37.705362
246,133,20,144.956057,-37.799269,144.911281,-37.705362
246,188,40,144.947596,-37.778987,144.911281,-37.705362
246,319,8,144.9744689,-37.8076887,144.911281,-37.705362
246,997,1,144.976056240715,-37.80778615,144.911281,-37.705362
246,811,10,145.0149132,-37.6525206,144.911281,-37.705362
246,779,3,144.976646,-37.8086576,144.911281,-37.705362
496,472,2,146.919771387,-36.084404228,145.999191,-36.556863
496,469,15,145.99449813503,-36.55495715,145.999191,-36.556863
496,55,1,145.405657,-36.362111,145.999191,-36.556863
496,297,13,146.313804133264,-36.35411275,145.999191,-36.556863
229,587,1,144.365972,-38.151299,144.345682,-38.094387
347,221,1,145.3151525,-37.9000695,145.006795,-37.751694
347,471,178,145.0585637,-37.7555989,145.006795,-37.751694
347,82,4,145.045488,-37.755479,145.006795,-37.751694
347,782,6,145.119799,-37.813761,145.006795,-37.751694
347,525,1,144.9940109,-37.8168201,145.006795,-37.751694
347,306,1,144.88738,-37.792388,145.006795,-37.751694
347,241,1,144.9587474,-37.7546374,145.006795,-37.751694
347,759,1,145.0609462,-37.7558954,145.006795,-37.751694
347,160,1,144.9562153,-37.7999274,145.006795,-37.751694
347,133,3,144.956057,-37.799269,145.006795,-37.751694
347,188,2,144.947596,-37.778987,145.006795,-37.751694
347,319,49,144.9744689,-37.8076887,145.006795,-37.751694
347,811,8,145.0149132,-37.6525206,145.006795,-37.751694
714,285,1,143.8476414,-37.5597424,143.88963,-37.559875
828,396,16,144.9789509,-37.8448389,145.0027298,-37.9077261
828,496,2,144.991182481468,-37.911664,145.0027298,-37.9077261
828,442,23,145.033675,-37.8619388,145.0027298,-37.9077261
828,206,1,145.008873,-37.85412,145.0027298,-37.9077261
828,492,1,145.016733,-37.8823815,145.0027298,-37.9077261
828,525,1,144.9940109,-37.8168201,145.0027298,-37.9077261
828,229,8,145.1223061,-37.9200807,145.0027298,-37.9077261
828,80,2,145.003343742385,-37.9426807,145.0027298,-37.9077261
828,182,1,145.031036210242,-37.7635299,145.0027298,-37.9077261
828,420,9,145.0184922,-37.9613493,145.0027298,-37.9077261
654,471,1,145.0585637,-37.7555989,144.715873,-37.562343
654,144,1,144.971707,-37.756482,144.715873,-37.562343
654,442,2,145.033675,-37.8619388,144.715873,-37.562343
654,525,8,144.9940109,-37.8168201,144.715873,-37.562343
654,306,45,144.88738,-37.792388,144.715873,-37.562343
654,241,13,144.9587474,-37.7546374,144.715873,-37.562343
654,133,11,144.956057,-37.799269,144.715873,-37.562343
654,188,59,144.947596,-37.778987,144.715873,-37.562343
654,319,7,144.9744689,-37.8076887,144.715873,-37.562343
654,758,158,144.815846115986,-37.7594624,144.715873,-37.562343
654,811,11,145.0149132,-37.6525206,144.715873,-37.562343
654,779,1,144.976646,-37.8086576,144.715873,-37.562343
110,285,25,143.8476414,-37.5597424,143.467742,-37.092254
110,949,1,143.246848,-36.609559,143.467742,-37.092254
110,925,46,143.7396713,-37.041100900000004,143.467742,-37.092254
110,286,4,143.846182217642,-37.55761185,143.467742,-37.092254
524,396,5,144.9789509,-37.8448389,145.05971232567,-37.96453985
524,496,1,144.991182481468,-37.911664,145.05971232567,-37.96453985
524,442,6,145.033675,-37.8619388,145.05971232567,-37.96453985
524,742,3,145.220576,-37.977337,145.05971232567,-37.96453985
524,956,1,145.05448312418,-37.8462317,145.05971232567,-37.96453985
