site_name,pub_hosp_ind,current_peer_group,lat,long,cluster
Skin Cancer Day Surgery,Private,Plastic & reconstructive surgery centres,-37.86791506,145.1052132,1
Diaverum North Melbourne Dialysis Clinic,Private,Dialysis clinics,-37.78854125,144.9402709,3
Knox Private Hospital [Wantirna],Private,Private acute group A hospitals,-37.84947235,145.2278565,5
Ivanhoe Endoscopy and Day Procedure Centre,Private,Endoscopy centres,-37.76680142,145.0451984,3
Malvern Private Hospital [East Malvern],Private,Drug & alcohol hospitals,-37.8669432,145.0607248,1
Marie Stopes International East St Kilda,Private,Reproductive health centres,-37.87301104,144.9820578,3
Holmesglen Private Hospital,Private,Private acute group A hospitals,-37.93592045,145.0508777,1
St Vincents Private Hospital East Melbourne,Private,Private acute group C hospitals,-37.811877,144.9842499,3
Epworth Freemasons,Private,Private acute group A hospitals,-37.80943865,144.9823367,3
Epworth Geelong,Private,Private acute group A hospitals,-38.193294,144.3048977,9
Epworth Hospital [Richmond],Private,Private acute group A hospitals,-37.8171095,144.9930389,3
Beleura Private Hospital [Mornington],Private,Private acute group A hospitals,-38.22458175,145.0493078,12
Cabrini Health Elsternwick Rehabilitation Service,Private,Private rehabilitation hospitals,-37.88555012,145.0094052,1
Cabrini Malvern,Private,Private acute group A hospitals,-37.86180335,145.0335038,1
Cabrini Prahran,Private,Private acute group A hospitals,-37.85404868,145.0089127,1
Cabrini Brighton,Private,Private acute group C hospitals,-37.911664,144.9911825,1
Cabrini Hopetoun,Private,Private rehabilitation hospitals,-37.8847658,145.0104015,1
St John of God Ballarat Hospital,Private,Private acute group B hospitals,-37.55761185,143.8461822,7
"Geelong Clinic, The",Private,Private acute psychiatric hospitals,-38.18206824,144.3933796,9
St John of God Geelong Hospital,Private,Private acute group B hospitals,-38.15178895,144.3575613,9
Murray Valley Private Hospital [Wodonga],Private,Other acute specialised hospitals,-36.13871325,146.876982,10
Waverley Private Hospital [Mt Waverley],Private,Private acute group C hospitals,-37.8843792,145.1455722,1
